,[0:0],[0:1],[0:2],[1:0],[1:1],[1:2],[2:0],[2:1],[2:2],Move
575,Y,_,X,X,X,Y,Y,Y,_,8
576,Y,X,Y,_,X,_,_,Y,_,3
577,X,_,_,_,Y,_,_,_,_,2
578,X,_,_,_,Y,_,_,_,_,2
579,X,_,_,_,Y,_,_,_,_,2
580,Y,_,X,X,Y,Y,X,Y,X,1
581,Y,Y,X,X,X,Y,Y,X,_,8
582,X,Y,Y,Y,Y,X,X,_,_,7
583,_,_,_,_,_,_,_,_,_,0
584,X,Y,X,Y,Y,X,_,X,Y,6
585,_,_,_,_,_,_,_,_,_,0
586,_,_,_,_,_,_,_,_,_,0
587,Y,_,X,X,Y,_,_,_,_,8
588,Y,X,Y,Y,X,_,X,Y,_,5
589,_,_,_,_,_,_,_,_,_,0
590,X,X,Y,Y,Y,X,X,Y,_,8
591,X,Y,Y,Y,Y,X,X,_,_,7
592,X,_,_,Y,Y,_,X,_,_,1
593,Y,_,_,_,_,_,_,_,_,4
594,_,_,_,Y,_,_,_,_,_,4
595,_,_,_,_,_,_,_,_,_,0
596,X,Y,_,_,Y,_,_,_,_,7
597,_,_,_,_,Y,_,_,_,_,0
598,X,Y,X,X,Y,_,Y,_,_,7
599,X,Y,X,X,Y,_,Y,X,Y,5
600,_,_,_,_,_,_,_,_,_,0
601,X,_,_,_,Y,_,_,_,_,2
602,X,Y,X,Y,Y,_,Y,X,_,5
603,Y,Y,X,X,X,Y,Y,X,_,8
604,X,_,_,Y,Y,_,_,_,_,5
605,X,Y,_,_,Y,_,_,_,_,7
606,Y,X,_,X,X,Y,_,Y,_,2
607,X,_,Y,_,Y,_,_,_,_,6
608,Y,_,_,_,X,_,Y,_,_,3
609,_,_,_,_,Y,_,_,_,_,0
610,X,_,_,_,Y,_,_,_,_,2
611,Y,Y,_,X,X,_,Y,_,_,2
612,Y,X,Y,_,X,_,X,Y,_,5
613,_,_,_,_,_,_,Y,_,_,0
614,X,_,_,Y,Y,_,X,_,_,1
615,_,_,_,_,_,_,_,_,_,0
616,Y,_,Y,_,X,_,X,_,_,1
617,Y,_,_,X,X,Y,Y,_,_,7
618,Y,X,Y,_,X,_,X,Y,_,5
619,Y,_,Y,_,X,_,_,_,_,1
620,_,_,_,_,_,_,_,_,_,0
621,X,_,_,_,_,_,Y,Y,_,4
622,_,_,_,_,_,_,_,_,_,0
623,_,_,_,Y,_,_,_,_,_,4
624,Y,X,Y,Y,X,_,X,Y,_,5
625,Y,Y,X,X,X,_,Y,_,_,5
626,_,_,_,_,Y,_,_,_,_,0
627,Y,X,Y,_,X,_,_,Y,_,3
628,Y,Y,_,_,Y,X,X,_,X,7
629,Y,X,Y,_,_,_,X,Y,X,5
630,X,Y,X,_,Y,Y,_,X,_,3
631,Y,_,Y,_,X,_,_,_,_,1
632,X,Y,_,X,Y,_,Y,_,_,2
633,X,_,Y,Y,_,_,X,_,Y,5
634,_,_,_,_,_,_,_,_,_,0
635,X,Y,X,_,Y,_,Y,_,_,7
636,_,_,_,_,_,Y,_,_,_,0
637,X,_,_,Y,Y,_,_,_,_,5
638,X,Y,X,_,Y,_,Y,_,_,7
639,Y,_,_,_,_,_,_,_,_,4
640,Y,X,X,X,Y,Y,_,Y,X,6
641,Y,X,_,_,X,_,_,Y,_,6
642,Y,_,_,_,X,_,Y,_,_,3
643,_,_,_,Y,_,_,_,_,_,4
644,Y,X,X,Y,Y,_,_,_,X,5
645,X,X,Y,Y,Y,_,X,_,_,5
646,Y,_,Y,_,X,_,X,_,_,1
647,X,_,_,_,Y,_,Y,_,_,2
648,Y,X,X,X,X,Y,Y,Y,_,8
649,_,_,_,_,_,_,_,_,_,0
650,Y,_,_,_,X,_,_,_,_,2
651,_,_,_,_,_,_,_,_,_,0
652,X,Y,Y,Y,X,_,_,X,Y,5
653,X,_,Y,Y,Y,_,X,_,_,5
654,X,_,Y,Y,Y,X,_,_,_,6
655,X,X,Y,_,Y,_,_,_,_,6
656,_,_,Y,Y,X,_,X,_,Y,1
657,Y,_,_,_,_,_,_,_,_,4
658,X,_,Y,Y,_,_,X,_,Y,5
659,Y,_,_,X,_,_,_,_,_,4
660,Y,X,_,X,X,Y,Y,Y,_,8
661,Y,_,_,_,_,_,_,_,_,4
662,_,_,_,_,_,_,_,_,_,0
663,X,Y,_,Y,Y,X,_,_,_,7
664,Y,_,X,X,Y,_,_,Y,X,1
665,X,Y,X,Y,Y,_,Y,X,_,5
666,X,Y,X,_,Y,_,_,_,_,3
667,_,_,_,_,Y,_,_,_,_,0
668,X,_,_,Y,X,_,_,Y,Y,2
669,Y,_,X,X,X,Y,Y,_,_,1
670,_,_,_,X,X,Y,Y,_,Y,7
671,Y,X,_,Y,X,_,X,Y,_,2
672,Y,_,Y,_,X,_,_,_,_,1
673,X,_,Y,_,X,_,Y,_,Y,5
674,_,_,_,_,_,_,_,_,_,0
675,Y,_,_,_,_,X,_,_,_,4
676,X,Y,X,X,Y,Y,Y,X,_,8
677,X,Y,_,_,Y,X,Y,_,X,7
678,Y,_,X,_,_,_,_,_,_,4
679,Y,_,X,X,Y,_,_,Y,X,1
680,Y,X,X,X,X,Y,Y,Y,_,8
681,Y,_,_,_,_,X,_,_,_,4
682,_,_,_,_,_,_,_,_,_,0
683,_,_,_,_,_,_,_,_,_,0
684,X,_,Y,Y,Y,X,X,Y,_,1
685,_,_,_,_,Y,_,_,_,_,0
686,_,_,_,_,Y,_,_,_,_,0
687,_,_,_,X,Y,_,_,_,_,0
688,X,Y,X,X,Y,Y,Y,X,_,8
689,Y,X,Y,X,X,Y,X,Y,_,8
690,Y,_,X,X,Y,Y,X,Y,X,1
691,Y,X,_,X,Y,_,_,_,_,8
692,_,_,_,Y,X,_,Y,_,_,0
693,Y,X,Y,Y,X,_,X,Y,_,5
694,Y,X,Y,Y,X,_,X,Y,_,5
695,_,_,_,_,_,_,_,_,_,0
696,X,Y,_,_,Y,_,_,_,_,7
697,Y,_,X,_,X,_,Y,_,_,3
698,X,Y,Y,Y,Y,X,X,_,_,7
699,X,Y,X,_,Y,_,Y,_,_,7
700,Y,X,_,_,Y,_,X,_,_,8
701,_,_,_,_,_,_,_,_,_,0
702,Y,X,X,X,X,Y,Y,Y,_,8
703,_,_,_,_,_,_,_,_,_,0
704,X,X,Y,Y,Y,_,X,_,_,5
705,_,_,_,_,_,_,_,_,_,0
706,X,Y,_,Y,X,X,Y,_,Y,7
707,Y,_,Y,_,X,_,X,_,_,1
708,Y,_,_,_,_,_,_,_,_,4
709,Y,X,Y,_,X,_,X,Y,_,5
710,X,Y,X,X,Y,_,Y,X,Y,5
711,X,_,_,_,Y,_,_,_,_,2
712,Y,_,Y,_,X,_,_,_,_,1
713,X,_,Y,Y,Y,_,X,_,_,5
714,Y,X,Y,Y,X,X,X,Y,_,8
715,X,Y,X,Y,Y,_,Y,X,_,5
716,X,_,_,_,Y,_,_,_,_,2
717,Y,_,_,_,X,_,Y,_,_,3
718,Y,X,Y,Y,X,X,X,Y,_,8
719,Y,_,_,_,X,_,_,_,_,2
720,Y,X,Y,X,X,Y,Y,_,_,7
721,X,Y,_,Y,Y,X,_,_,_,7
722,Y,_,Y,_,X,_,_,_,_,1
723,_,_,_,_,Y,_,_,_,_,0
724,Y,X,Y,Y,X,_,X,Y,_,5
725,X,Y,X,_,Y,Y,Y,X,_,3
726,X,Y,X,X,Y,_,Y,_,_,7
727,Y,X,X,X,X,Y,Y,Y,_,8
728,_,_,_,_,_,_,_,Y,_,0
729,Y,_,Y,_,X,_,X,_,_,1
730,Y,_,_,_,X,_,_,_,_,2
731,Y,Y,X,X,X,Y,Y,_,_,7
732,X,_,_,Y,Y,_,_,_,_,5
733,X,Y,X,X,Y,Y,Y,X,_,8
734,Y,Y,_,X,X,_,Y,_,_,2
735,X,X,Y,Y,Y,_,X,_,_,5
736,Y,_,X,X,X,Y,Y,_,_,1
737,X,Y,X,Y,Y,_,_,X,_,5
738,Y,_,_,_,_,_,_,_,_,4
739,_,_,_,_,_,_,_,_,_,0
740,X,_,_,Y,Y,_,X,_,_,1
741,Y,_,Y,_,X,Y,X,_,_,1
742,X,_,_,_,Y,_,_,_,_,2
743,Y,X,_,X,X,Y,_,Y,_,2
744,X,_,_,X,Y,_,Y,_,_,2
745,Y,X,Y,_,X,_,_,Y,_,3
746,X,Y,X,_,Y,Y,Y,X,_,3
747,Y,_,X,X,Y,_,_,_,_,8
748,X,Y,X,X,Y,Y,Y,X,_,8
749,X,_,Y,_,Y,_,_,_,_,6
750,Y,X,X,X,X,Y,Y,Y,_,8
751,Y,_,_,_,X,_,Y,_,_,3
752,_,_,_,_,_,_,_,_,_,0
753,X,Y,_,Y,Y,X,_,_,_,7
754,X,X,Y,Y,Y,_,X,_,_,5
755,X,_,_,_,Y,_,_,_,_,2
756,Y,Y,_,X,X,_,Y,_,_,2
757,X,_,_,Y,Y,_,X,_,_,1
758,Y,X,X,Y,Y,_,_,_,X,5
759,Y,_,_,_,X,_,Y,_,_,3
760,X,Y,X,X,Y,Y,Y,X,_,8
761,X,_,_,Y,Y,_,X,_,_,1
762,Y,X,Y,Y,X,_,X,Y,_,5
763,_,_,_,_,_,_,_,_,_,0
764,Y,_,Y,_,X,Y,X,_,_,1
765,Y,_,Y,_,X,_,_,_,_,1
766,Y,X,_,_,X,_,_,Y,_,6
767,Y,X,Y,X,X,Y,X,Y,_,8
768,Y,Y,_,X,X,_,Y,_,_,2
769,Y,X,X,_,Y,_,_,_,_,8
770,Y,Y,X,_,X,_,Y,_,_,3
771,_,_,_,_,_,_,_,_,_,0
772,X,Y,X,Y,Y,_,Y,X,_,5
773,X,X,Y,Y,Y,_,X,_,_,5
774,X,_,_,_,Y,_,_,_,_,2
775,X,Y,X,_,Y,X,Y,X,Y,3
776,X,Y,X,_,Y,_,Y,_,_,7
777,X,_,_,_,Y,_,Y,_,_,2
778,_,_,_,_,_,_,_,_,_,0
779,_,_,_,_,_,_,_,_,_,0
780,X,Y,X,_,Y,X,Y,X,Y,3
781,_,_,_,_,_,_,_,_,_,0
782,X,_,Y,Y,Y,_,X,_,_,5
783,_,_,_,_,_,_,_,_,_,0
784,Y,_,_,X,X,Y,Y,_,_,7
785,Y,X,Y,Y,X,_,_,_,_,6
786,_,_,_,_,_,_,_,_,_,0
787,Y,X,_,_,Y,_,X,_,_,8
788,Y,_,_,_,X,_,_,Y,_,2
789,X,Y,Y,_,X,_,_,_,Y,3
790,Y,X,Y,Y,X,X,X,Y,_,8
791,X,X,Y,_,Y,_,_,_,_,6
792,X,Y,X,_,Y,_,Y,_,_,7
793,Y,_,X,_,_,_,_,_,_,4
794,_,_,_,_,_,_,_,_,Y,0
795,X,X,Y,Y,Y,X,X,Y,_,8
796,_,_,_,_,_,_,_,_,_,0
797,X,Y,_,X,Y,_,Y,_,_,2
798,X,Y,X,Y,Y,_,Y,X,_,5
799,X,Y,X,_,Y,_,_,_,_,3
800,_,_,_,_,_,_,Y,_,_,0
801,_,_,_,_,Y,_,_,_,_,0
802,_,_,_,_,_,_,_,_,_,0
803,_,_,_,_,_,_,_,_,_,0
804,Y,_,X,_,X,_,Y,_,_,3
805,X,Y,X,X,Y,Y,Y,X,_,8
806,_,_,_,_,_,_,_,_,_,0
807,Y,X,X,X,X,Y,Y,Y,_,8
808,Y,X,Y,X,X,Y,X,Y,_,8
809,Y,_,X,X,X,Y,Y,_,_,1
810,_,_,_,_,Y,_,_,_,_,0
811,X,Y,X,_,Y,_,Y,_,_,7
812,Y,X,_,X,X,Y,Y,Y,_,8
813,X,_,_,Y,Y,_,X,_,_,1
814,Y,Y,X,X,X,Y,Y,X,_,8
815,X,Y,X,_,Y,_,_,_,_,3
816,X,Y,X,_,Y,_,Y,_,_,7
817,Y,_,_,_,_,_,_,X,_,4
818,Y,X,Y,X,X,Y,X,Y,_,8
819,X,X,Y,Y,Y,X,X,Y,_,8
820,X,Y,_,Y,Y,X,_,_,_,7
821,Y,Y,_,X,Y,_,X,_,X,2
822,_,_,_,_,_,_,_,_,_,0
823,X,Y,Y,_,X,_,Y,X,Y,5
824,_,_,_,_,Y,_,X,_,_,0
825,_,_,_,_,X,_,_,Y,Y,3
826,Y,Y,X,X,X,Y,Y,X,_,8
827,Y,_,Y,_,X,_,X,_,_,1
828,Y,_,X,_,X,_,Y,_,_,3
829,Y,Y,_,X,X,Y,Y,X,_,2
830,X,X,Y,Y,Y,X,X,Y,_,8
831,Y,_,_,Y,X,_,_,_,_,6
832,Y,_,_,_,X,_,_,_,_,2
833,X,Y,X,X,Y,_,Y,X,Y,5
834,X,X,Y,Y,Y,X,X,_,Y,7
835,_,_,_,_,_,_,_,_,_,0
836,Y,_,X,X,Y,_,_,Y,X,1
837,X,Y,_,Y,Y,X,X,_,_,7
838,X,Y,X,X,Y,_,Y,X,Y,5
839,Y,X,_,X,X,Y,Y,Y,_,8
840,Y,X,Y,_,X,Y,_,_,_,7
841,Y,X,Y,_,X,Y,X,Y,_,8
842,Y,_,_,_,_,_,_,_,_,4
843,_,_,_,_,_,_,_,_,_,0
844,Y,Y,X,_,X,_,Y,_,_,3
845,X,Y,X,X,Y,Y,Y,X,_,8
846,_,_,_,_,_,_,_,_,_,0
847,Y,_,_,_,X,_,_,_,_,2
848,_,_,_,_,_,_,_,_,_,0
849,Y,X,Y,Y,X,X,X,Y,_,8
850,_,_,Y,_,_,_,_,_,_,0
851,Y,_,_,_,_,_,X,_,_,4
852,_,_,_,X,X,Y,Y,Y,_,8
853,_,_,_,_,_,_,_,_,_,0
854,_,_,X,_,Y,_,_,_,_,0
855,Y,X,Y,_,X,_,_,Y,_,3
856,Y,_,Y,_,X,_,_,_,_,1
857,Y,_,_,_,X,_,_,_,_,2
858,Y,X,_,X,X,Y,_,Y,_,2
859,X,_,Y,_,Y,_,_,_,_,6
860,X,_,_,Y,Y,_,X,_,_,1
861,_,_,_,_,_,_,Y,_,_,0
862,Y,Y,_,_,X,_,_,_,_,2
863,X,Y,X,Y,Y,X,_,X,Y,6
864,Y,_,_,_,X,_,_,_,_,2
865,_,_,_,_,_,_,Y,_,_,0
866,_,_,_,_,_,_,_,_,_,0
867,_,_,_,_,_,_,_,_,_,0
868,X,Y,_,Y,X,X,Y,_,Y,7
869,X,_,Y,_,X,_,Y,_,Y,5
870,X,_,Y,Y,X,_,_,_,Y,7
871,Y,X,Y,_,X,_,X,Y,_,5
872,_,X,Y,_,X,_,_,Y,Y,5
873,X,_,_,Y,Y,_,X,_,_,1
874,Y,_,X,_,X,_,Y,_,_,3
875,_,_,_,_,_,_,_,_,_,0
876,_,_,X,_,Y,_,_,_,_,0
877,Y,X,_,_,X,_,_,Y,_,6
878,X,Y,_,Y,Y,X,X,_,_,7
879,Y,_,X,_,X,_,Y,_,_,3
880,X,Y,Y,_,X,_,Y,X,Y,5
881,X,_,_,Y,Y,X,X,Y,_,1
882,_,_,_,_,_,_,_,_,_,0
883,Y,_,_,_,X,_,_,_,_,2
884,_,_,_,_,Y,_,_,_,_,0
885,Y,_,X,_,Y,_,X,_,_,8
886,Y,Y,_,X,X,_,Y,_,_,2
887,Y,_,X,_,X,_,Y,_,_,3
888,X,Y,X,X,Y,Y,Y,X,_,8
889,_,_,_,_,_,_,_,_,_,0
890,X,_,Y,_,_,_,Y,_,_,4
891,Y,_,X,_,X,_,Y,_,_,3
892,Y,X,_,_,X,_,_,Y,_,6
893,X,Y,Y,X,X,_,Y,_,Y,5
894,X,Y,X,_,Y,_,Y,_,_,7
895,Y,_,_,_,X,_,_,_,_,2
896,_,_,_,_,_,_,_,_,_,0
897,Y,_,_,_,_,_,_,_,_,4
898,Y,_,_,_,X,_,Y,_,_,3
899,X,Y,X,Y,Y,_,Y,X,_,5
900,X,_,_,_,Y,_,Y,_,_,2
901,X,_,_,X,Y,_,Y,_,_,2
902,_,_,Y,_,_,_,_,_,_,0
903,X,Y,Y,Y,Y,X,X,_,_,7
904,Y,X,Y,_,X,_,X,Y,_,5
905,_,_,_,_,_,_,_,_,_,0
906,X,Y,X,_,Y,_,Y,_,_,7
907,Y,_,Y,_,X,_,_,_,_,1
908,X,_,_,X,Y,_,Y,_,_,2
909,_,_,_,_,_,_,_,_,_,0
910,Y,_,X,_,_,_,_,_,_,4
911,X,_,_,_,Y,_,Y,_,_,2
912,Y,_,_,_,X,_,_,_,_,2
913,Y,_,Y,_,X,_,X,_,_,1
914,Y,_,X,_,X,_,Y,_,_,3
915,Y,_,Y,_,X,_,_,_,_,1
916,_,_,_,_,Y,_,X,_,_,0
917,_,Y,_,_,_,_,_,_,_,4
918,X,_,_,_,Y,_,_,_,_,2
919,X,Y,X,_,Y,Y,Y,X,_,3
920,Y,_,Y,_,X,_,_,_,_,1
921,Y,Y,X,X,X,Y,Y,_,_,7
922,Y,Y,X,_,X,_,Y,_,_,3
923,X,Y,X,_,Y,_,_,_,_,3
924,Y,X,Y,Y,X,X,X,Y,_,8
925,Y,_,_,_,_,_,_,_,_,4
926,_,_,_,_,Y,_,_,_,_,0
927,_,_,_,X,Y,_,_,_,_,0
928,_,_,X,_,Y,_,_,_,_,0
929,X,X,Y,Y,Y,X,X,_,Y,7
930,_,_,_,_,_,_,_,_,_,0
931,Y,_,Y,_,_,_,X,_,X,1
932,X,_,_,_,Y,_,_,_,_,2
933,Y,X,Y,_,X,_,_,Y,_,3
934,Y,Y,X,X,X,Y,Y,_,_,7
935,Y,Y,X,X,X,Y,Y,_,_,7
936,_,_,_,_,_,_,_,_,_,0
937,_,_,_,_,_,_,_,_,_,0
938,_,_,_,_,_,_,_,Y,_,0
939,X,_,Y,_,Y,_,_,X,_,6
940,_,X,_,_,Y,_,_,_,_,0
941,Y,_,Y,_,X,_,X,_,_,1
942,X,Y,X,_,Y,Y,_,X,_,3
943,Y,X,Y,_,X,_,X,Y,_,5
944,_,_,_,_,Y,_,_,_,_,0
945,Y,_,_,_,_,_,_,_,_,4
946,Y,Y,_,_,X,_,_,_,_,2
947,_,_,Y,_,_,_,_,_,_,0
948,X,Y,_,Y,Y,X,Y,X,_,2
949,Y,_,_,_,X,_,_,_,_,2
950,X,_,Y,Y,Y,X,X,Y,_,1
951,Y,_,X,X,X,Y,Y,_,_,1
952,X,Y,Y,Y,Y,X,X,_,_,7
953,_,_,_,_,X,_,Y,_,Y,3
954,X,_,Y,Y,_,_,_,_,_,4
955,_,_,_,_,_,_,_,_,_,0
956,Y,Y,_,X,X,_,Y,_,_,2
957,_,_,_,_,_,_,_,_,Y,0
958,_,_,_,_,Y,_,_,_,_,0
959,Y,Y,_,X,X,_,Y,_,_,2
960,_,_,_,_,_,_,_,_,_,0
961,X,X,Y,Y,Y,X,X,_,Y,7
962,Y,X,Y,X,X,Y,_,Y,_,8
963,_,_,_,_,_,_,_,_,_,0
964,_,_,_,_,Y,_,_,_,_,0
965,_,_,_,_,_,_,_,_,_,0
966,Y,X,X,X,X,Y,Y,Y,_,8
967,_,_,_,_,_,_,_,_,_,0
968,X,Y,Y,Y,Y,X,X,_,_,7
969,_,_,_,_,_,_,Y,_,_,0
970,X,Y,X,X,Y,_,Y,_,_,7
971,Y,_,_,_,X,_,_,_,_,2
972,Y,X,Y,_,X,_,X,Y,_,5
973,Y,X,_,X,X,Y,_,Y,_,2
974,X,Y,X,_,Y,Y,Y,X,_,3
975,X,_,_,Y,Y,_,X,_,_,1
976,_,_,X,_,Y,_,_,_,_,0
977,X,_,_,_,Y,_,Y,_,_,2
978,_,X,_,Y,X,_,_,Y,Y,2
979,X,_,_,_,Y,_,Y,_,_,2
980,X,Y,X,_,Y,_,_,_,_,3
981,_,_,Y,_,_,_,_,_,_,0
982,X,_,Y,Y,_,_,X,_,Y,5
983,_,_,_,_,X,Y,Y,_,_,0
984,X,_,_,_,Y,_,_,_,_,2
985,Y,X,Y,_,X,_,X,Y,_,5
986,X,Y,X,X,Y,_,Y,X,Y,5
987,Y,_,_,_,X,_,_,_,_,2
988,Y,_,_,X,X,Y,_,_,_,1
989,X,Y,X,_,Y,_,Y,X,Y,5
990,Y,X,Y,Y,X,_,X,Y,_,5
991,Y,_,_,_,_,_,X,_,_,4
992,Y,_,Y,Y,X,_,X,_,_,1
993,X,_,Y,_,X,_,Y,_,Y,5
994,Y,_,_,X,X,Y,Y,_,_,7
995,Y,_,_,_,_,_,X,_,_,4
996,_,_,_,_,_,_,_,_,_,0
997,X,Y,_,Y,Y,X,X,_,_,7
998,Y,_,_,_,_,_,_,_,_,4
999,Y,_,_,_,_,_,_,_,_,4
1000,Y,_,_,X,X,Y,Y,_,_,7
1001,Y,_,_,_,_,_,_,_,_,4
1002,Y,_,_,_,X,_,Y,_,_,3
1003,X,X,Y,Y,Y,_,X,_,_,5
1004,_,_,_,_,_,_,_,_,_,0
1005,Y,_,_,_,X,_,Y,_,_,3
1006,_,Y,_,_,_,_,_,_,_,4
1007,X,Y,_,Y,Y,X,X,_,_,7
1008,X,X,Y,Y,Y,X,X,Y,_,8
1009,Y,Y,_,X,X,Y,Y,X,_,2
1010,_,_,_,_,_,_,_,_,_,0
1011,Y,_,Y,_,X,_,X,_,_,1
1012,Y,X,Y,Y,X,X,X,Y,_,8
1013,Y,Y,_,_,X,_,_,_,_,2
1014,X,_,_,Y,Y,_,X,_,_,1
1015,Y,X,Y,_,_,_,X,Y,X,5
1016,Y,X,X,X,X,Y,Y,Y,_,8
1017,Y,_,Y,_,X,_,_,_,_,1
1018,Y,X,Y,X,X,Y,X,Y,_,8
1019,Y,X,Y,X,X,Y,_,Y,_,8
1020,Y,X,Y,X,X,Y,X,Y,_,8
1021,Y,_,Y,X,X,_,_,_,_,1
1022,X,_,_,_,Y,_,_,_,_,2
1023,_,_,_,_,Y,_,_,_,_,0
1024,_,_,_,_,Y,_,_,_,_,0
1025,Y,_,_,_,X,_,_,_,_,2
1026,Y,X,Y,Y,X,_,X,Y,_,5
1027,Y,X,Y,_,_,_,X,Y,X,5
1028,Y,_,_,X,X,Y,_,_,_,1
1029,Y,_,_,_,X,_,Y,X,_,3
1030,Y,Y,X,X,X,Y,Y,_,_,7
1031,Y,Y,_,X,X,_,_,_,_,2
1032,Y,_,_,_,X,_,_,_,_,2
1033,_,_,_,_,_,_,_,_,_,0
1034,Y,_,_,_,_,_,_,_,_,4
1035,Y,_,_,X,X,Y,Y,_,_,7
1036,Y,_,_,_,_,_,_,_,_,4
1037,_,Y,Y,_,X,_,_,_,_,0
1038,X,_,_,_,Y,_,_,_,_,2
1039,X,_,Y,Y,_,X,X,Y,Y,1
1040,X,_,_,_,Y,Y,_,_,_,3
1041,Y,_,_,X,X,Y,_,_,_,1
1042,X,X,Y,Y,Y,_,X,_,_,5
1043,Y,_,X,_,X,_,Y,_,_,3
1044,Y,X,X,X,X,Y,Y,Y,_,8
1045,X,X,Y,Y,Y,X,X,Y,_,8
1046,X,Y,_,Y,Y,X,_,_,_,7
1047,X,_,Y,Y,Y,X,X,Y,_,1
1048,X,_,_,Y,Y,_,X,_,_,1
1049,Y,_,_,Y,X,_,_,_,_,6
1050,Y,Y,_,X,X,_,Y,_,_,2
1051,_,_,_,_,_,_,_,Y,_,0
1052,X,Y,X,Y,Y,_,Y,X,_,5
1053,Y,_,_,_,X,_,_,_,_,2
1054,Y,Y,X,X,X,Y,Y,_,_,7
1055,Y,_,_,_,_,_,_,_,_,4
1056,X,_,Y,Y,Y,_,X,_,_,5
1057,_,_,_,_,_,_,_,_,_,0
1058,_,Y,_,_,_,_,_,_,_,4
1059,Y,Y,X,_,X,_,Y,_,_,3
1060,X,_,_,_,Y,_,_,_,_,2
1061,X,_,Y,Y,Y,_,X,_,_,5
1062,X,_,_,Y,Y,_,X,_,_,1
1063,Y,_,X,_,X,_,Y,_,_,3
1064,_,_,_,_,_,_,_,_,_,0
1065,_,_,_,_,_,_,_,_,_,0
1066,X,Y,_,Y,Y,X,_,_,_,7
1067,Y,_,_,Y,X,_,_,_,_,6
1068,Y,_,_,_,_,_,_,_,_,4
1069,X,_,_,_,Y,X,Y,_,_,2
1070,Y,_,_,_,X,_,Y,_,_,3
1071,Y,_,X,_,X,_,Y,_,_,3
1072,Y,X,_,_,_,_,_,_,_,4
1073,X,Y,X,_,Y,_,_,_,_,3
1074,Y,_,X,X,Y,Y,X,Y,X,1
1075,Y,X,Y,Y,X,_,X,Y,_,5
1076,X,_,Y,_,X,_,Y,_,Y,5
1077,_,_,_,_,_,_,_,_,Y,0
1078,_,_,_,_,_,_,_,_,_,0
1079,Y,_,X,X,Y,Y,X,Y,X,1
1080,X,Y,X,X,Y,_,Y,_,_,7
1081,_,_,_,_,_,_,_,_,_,0
1082,_,_,_,X,Y,_,_,_,_,0
1083,X,Y,X,_,Y,_,_,_,_,3
1084,Y,X,X,X,X,Y,Y,Y,_,8
1085,X,_,_,Y,Y,_,X,_,_,1
1086,Y,X,_,_,X,_,_,Y,_,6
1087,Y,_,_,_,X,_,_,_,Y,2
1088,Y,_,X,_,X,_,Y,_,_,3
1089,Y,_,_,_,_,_,X,_,_,4
1090,Y,X,Y,Y,X,_,X,Y,_,5
1091,Y,Y,_,X,X,_,Y,_,_,2
1092,Y,X,X,_,Y,_,_,_,_,8
1093,Y,_,_,_,_,_,_,_,_,4
1094,Y,_,_,_,_,_,_,_,_,4
1095,Y,X,_,_,Y,Y,X,_,X,3
1096,Y,X,Y,Y,X,_,X,Y,_,5
1097,Y,X,Y,_,_,_,X,Y,X,5
1098,_,_,_,_,_,_,_,_,_,0
1099,X,Y,X,_,Y,_,Y,_,_,7
1100,X,Y,Y,_,X,_,_,_,Y,3
1101,X,_,_,_,Y,_,_,_,_,2
1102,_,_,_,_,_,_,_,_,_,0
1103,Y,_,X,X,X,Y,Y,_,_,1
1104,X,_,_,_,Y,_,_,_,_,2
1105,X,Y,X,_,Y,Y,_,X,_,3
1106,X,Y,X,X,Y,Y,Y,X,_,8
1107,Y,_,Y,_,X,_,_,_,_,1
1108,Y,_,_,X,X,Y,Y,Y,X,2
1109,_,_,_,_,_,_,_,_,_,0
1110,X,Y,X,Y,Y,X,_,X,Y,6
1111,X,Y,X,_,Y,_,_,_,_,3
1112,X,Y,X,_,Y,Y,Y,X,_,3
1113,Y,_,_,_,X,_,_,_,_,2
1114,Y,Y,X,X,X,Y,Y,_,_,7
1115,Y,X,Y,Y,X,X,X,Y,_,8
1116,Y,X,Y,X,X,Y,X,Y,_,8
1117,Y,Y,X,X,X,Y,Y,X,_,8
1118,X,_,Y,_,X,_,Y,_,Y,5
1119,_,_,_,Y,_,_,_,_,_,4
1120,X,_,_,Y,Y,X,X,Y,_,1
1121,X,Y,X,X,Y,_,Y,X,Y,5
1122,_,_,_,_,_,_,_,_,_,0
1123,X,_,Y,Y,Y,_,X,_,_,5
1124,X,X,Y,Y,Y,_,X,_,_,5
1125,_,_,_,_,Y,_,_,X,_,0
1126,_,_,_,_,_,_,_,_,_,0
1127,_,_,_,_,_,_,_,_,_,0
1128,Y,_,_,_,X,_,_,_,_,2
1129,_,X,Y,Y,Y,X,X,Y,X,0
1130,X,_,_,Y,Y,X,Y,_,_,2
1131,Y,Y,_,X,X,Y,Y,X,_,2
1132,_,_,Y,Y,X,_,_,_,_,0
1133,_,_,_,_,Y,_,_,_,_,0
1134,_,_,_,_,Y,_,_,_,_,0
1135,Y,X,Y,_,X,_,X,Y,_,5
1136,Y,_,X,X,X,Y,Y,_,_,1
1137,X,_,Y,Y,Y,_,X,_,_,5
1138,X,_,Y,Y,Y,X,X,Y,_,1
1139,Y,X,Y,X,X,Y,X,Y,_,8
1140,_,_,_,_,Y,_,_,_,_,0
1141,_,_,Y,_,X,_,_,_,Y,1
1142,Y,X,Y,Y,X,_,X,Y,_,5
1143,X,_,_,_,Y,_,_,_,_,2
1144,_,_,_,_,_,_,_,_,_,0
